Name,City,Country,Airport IATA,Latitude,Longitude
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,69.43329620361328,-133.0260009765625
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.4706001282,-73.7407989502
Repulse Bay Airport,Repulse Bay,Canada,YUT,66.5214004517,-86.22470092770003
Hall Beach Airport,Hall Beach,Canada,YUX,68.77610015869999,-81.2425
Rouyn Noranda Airport,Rouyn,Canada,YUY,48.20610046386719,-78.83560180664062
La Ronge Airport,La Ronge,Canada,YVC,55.1514015198,-105.262001038
Vermilion Airport,Vermillion,Canada,YVG,53.355800628699996,-110.823997498
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.5457992554,-64.03140258789999
Val-d'Or Airport,Val D'or,Canada,YVO,48.0532989502,-77.7827987671
Kuujjuaq Airport,Quujjuaq,Canada,YVP,58.09609985351562,-68.42690277099611
Norman Wells Airport,Norman Wells,Canada,YVQ,65.28160095214844,-126.7979965209961
Vancouver International Airport,Vancouver,Canada,YVR,49.193901061999995,-123.183998108
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,55.8418998718,-108.41799926799999
Wiarton Airport,Wiarton,Canada,YVV,44.7458,-81.107201
Petawawa Airport,Petawawa,Canada,YWA,45.95220184326172,-77.31919860839844
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.909999847399995,-97.2398986816
Wabush Airport,Wabush,Canada,YWK,52.92190170288086,-66.86440277099611
Williams Lake Airport,Williams Lake,Canada,YWL,52.1831016541,-122.054000854
Wrigley Airport,Wrigley,Canada,YWY,63.20940017700195,-123.43699645996094
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.610801696777,-115.78199768066001
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,53.5724983215,-113.52100372299999
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.170799255371094,-106.6999969482422
Medicine Hat Airport,Medicine Hat,Canada,YXH,50.01890182495117,-110.72100067138672
Fort St John Airport,Fort Saint John,Canada,YXJ,56.23809814453125,-120.73999786376952
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.11389923095703,-91.9052963256836
Pangnirtung Airport,Pangnirtung,Canada,YXP,66.1449966431,-65.71360015869999
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.6974006546,-79.84734535220001
Prince George Airport,Prince George,Canada,YXS,53.8894004822,-122.679000854
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009
London Airport,London,Canada,YXU,43.035599,-81.1539
Abbotsford Airport,Abbotsford,Canada,YXX,49.02529907226562,-122.36100006103516
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.709598541300004,-135.067001343
North Bay Jack Garland Airport,North Bay,Canada,YYB,46.363602,-79.422798
Calgary International Airport,Calgary,Canada,YYC,51.113899231000005,-114.019996643
Smithers Airport,Smithers,Canada,YYD,54.82469940185547,-127.18299865722656
Fort Nelson Airport,Fort Nelson,Canada,YYE,58.8363990784,-122.59700012200001
Penticton Airport,Penticton,Canada,YYF,49.46310043334961,-119.60199737548828
Charlottetown Airport,Charlottetown,Canada,YYG,46.290000915527344,-63.12110137939453
Taloyoak Airport,Spence Bay,Canada,YYH,69.5466995239,-93.57669830319999
Victoria International Airport,Victoria,Canada,YYJ,48.646900177,-123.426002502
Lynn Lake Airport,Lynn Lake,Canada,YYL,56.86389923095703,-101.07599639892578
Swift Current Airport,Swift Current,Canada,YYN,50.291900634799994,-107.691001892
Churchill Airport,Churchill,Canada,YYQ,58.73920059204102,-94.06500244140624
Goose Bay Airport,Goose Bay,Canada,YYR,53.3191986084,-60.425800323500006
St. John's International Airport,St. John's,Canada,YYT,47.618598938000005,-52.751899719200004
Kapuskasing Airport,Kapuskasing,Canada,YYU,49.41389846801758,-82.46749877929688
Armstrong Airport,Armstrong,Canada,YYW,50.29029846191406,-88.90969848632812
Mont Joli Airport,Mont Joli,Canada,YYY,48.60860061645508,-68.20809936523439
Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772003174,-79.63059997559999
Downsview Airport,Toronto,Canada,YZD,43.74250030517578,-79.4655990600586
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.88529968261719,-82.56780242919922
Yellowknife Airport,Yellowknife,Canada,YZF,62.46279907226562,-114.44000244140624
Slave Lake Airport,Slave Lake,Canada,YZH,55.293098449700004,-114.777000427
Sandspit Airport,Sandspit,Canada,YZP,53.25429916379999,-131.813995361
Chris Hadfield Airport,Sarnia,Canada,YZR,42.9994010925293,-82.30889892578125
Port Hardy Airport,Port Hardy,Canada,YZT,50.68059921264648,-127.36699676513672
Whitecourt Airport,Whitecourt,Canada,YZU,54.14390182495117,-115.78700256347656
Sept-Îles Airport,Sept-iles,Canada,YZV,50.22330093383789,-66.26560211181639
Teslin Airport,Teslin,Canada,YZW,60.17279815673828,-132.74299621582028
CFB Greenwood,Greenwood,Canada,YZX,44.98440170288086,-64.91690063476561
Faro Airport,Faro,Canada,ZFA,62.20750045776367,-133.37600708007812
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.40750122070311,-134.86099243164062
Blida Airport,Blida,Algeria,QLD,36.50360107421875,2.814169883728028
Bou Saada Airport,Bou Saada,Algeria,BUJ,35.33250045776367,4.206389904022217
Soummam Airport,Bejaja,Algeria,BJA,36.712001800500005,5.0699200630200005
Houari Boumediene Airport,Algier,Algeria,ALG,36.691001892089844,3.215409994125366
Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.292801,9.45244
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.7234992981,8.62265014648
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.8115005493,5.45107984543
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.7951011658,5.873610019680001
Mecheria Airport,Mecheria,Algeria,MZW,33.535900116,-0.242353007197
Rabah Bitat Airport,Annaba,Algeria,AAE,36.822201,7.8091740000000005
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.2760009765625,6.620389938354492
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.4315986633,8.120719909670001
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.93040084838867,3.311539888381958
Bou Chekif Airport,Tiaret,Algeria,TID,35.3410987854,1.4631500244100002
Tindouf Airport,Tindouf,Algeria,TIN,27.700399398800002,-8.167099952700001
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,36.212699890100005,1.33176994324
Tafaraoui Airport,Oran,Algeria,TAF,35.54240036010742,-0.5322780013084412
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.0167007446,-1.4500000476800001
Es Senia Airport,Oran,Algeria,ORN,35.6239013672,-0.6211829781529999
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,35.1717987061,-0.593275010586
Ghriss Airport,Ghriss,Algeria,MUW,35.207698822021484,0.14714199304580688
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.83760070800781,-0.1864140033721924
Biskra Airport,Biskra,Algeria,BSK,34.793300628699996,5.73823022842
El Golea Airport,El Golea,Algeria,ELG,30.5713005065918,2.8595900535583496
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.38410186767578,3.7941100597381587
Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.673000335700003,6.140439987180001
In Salah Airport,In Salah,Algeria,INZ,27.2509994507,2.51202011108
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.067798614501946,6.088669776916504
Laghouat Airport,Laghouat,Algeria,LOO,33.764400482199996,2.92833995819
Timimoun Airport,Timimoun,Algeria,TMX,29.237100601199998,0.276033014059
Ain el Beida Airport,Ouargla,Algeria,OGX,31.917200088500977,5.412779808044434
In Aménas Airport,Zarzaitine,Algeria,IAM,28.0515,9.64291
Cadjehoun Airport,Cotonou,Benin,COO,6.357230186462402,2.384350061416626
Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.3532,-1.51242
Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.160099983215332,-4.33096981048584
Kotoka International Airport,Accra,Ghana,ACC,5.605189800262451,-0.16678600013256073
Tamale Airport,Tamale,Ghana,TML,9.55718994140625,-0.8632140159606934
Sunyani Airport,Sunyani,Ghana,NYI,7.361830234527588,-2.3287599086761475
Takoradi Airport,Takoradi,Ghana,TKD,4.896059989929199,-1.7747600078582764
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.261390209197998,-3.9262900352478023
Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.738800048828125,-5.073669910430908
Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.7928099632263175,-6.473189830780028
Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.38718032837,-5.556660175319999
Man Airport,Man,Cote d'Ivoire,MJC,7.2720699310302725,-7.58735990524292
San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.746719837188722,-6.660820007324219
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.9031701088,-5.36558008194
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161132812,7.263169765472412
Akure Airport,Akure,Nigeria,AKR,7.246739864349365,5.3010101318359375
Benin Airport,Benin,Nigeria,BNI,6.3169798851013175,5.599500179290772
Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.976019859313965,8.347200393676758
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.4742698669433585,7.561960220336914
Ibadan Airport,Ibadan,Nigeria,IBA,7.362460136413574,3.97832989692688
Ilorin International Airport,Ilorin,Nigeria,ILR,8.440210342407228,4.493919849395752
Yakubu Gowon Airport,Jos,Nigeria,JOS,9.639829635620117,8.869050025939941
Kaduna Airport,Kaduna,Nigeria,KAD,10.696000099182127,7.320109844207764
Mallam Aminu International Airport,Kano,Nigeria,KAN,12.0476,8.52462
Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.855299949645994,13.080900192260742
Makurdi Airport,Makurdi,Nigeria,MDI,7.703880000000001,8.61394
Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.5773701667785645,3.321160078048706
Minna Airport,Minna,Nigeria,MXJ,9.652170181274414,6.462259769439697
Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.0154900550842285,6.94959020614624
Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.916299819946287,5.207190036773682
Yola Airport,Yola,Nigeria,YOL,9.257550239562988,12.430399894714355
Zaria Airport,Zaria,Nigeria,ZAR,11.1302,7.685810000000001
Maradi Airport,Maradi,Niger,MFQ,13.5024995803833,7.1267499923706055
Diori Hamani International Airport,Niamey,Niger,NIM,13.4815,2.18361
Tahoua Airport,Tahoua,Niger,THZ,14.875699996948242,5.265359878540039
Mano Dayak International Airport,Agadez,Niger,AJY,16.965999603271484,8.000109672546388
Zinder Airport,Zinder,Niger,ZND,13.779000282287598,8.983759880065918
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.75809860229492,10.75469970703125
Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.85100173950195,10.22719955444336
Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.42200088500977,8.822500228881836
Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.87689971923828,10.103300094604492
Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.775500297546387
El Borma Airport,El Borma,Tunisia,EBM,31.70429992675781,9.254619598388672
Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.71799850463867,10.690999984741213
Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.939701080322266,8.110560417175293
Niamtougou International Airport,Niatougou,Togo,LRL,9.767330169677734,1.0912499427795408
Lomé-Tokoin Airport,Lome,Togo,LFW,6.165609836578369,1.2545100450515747
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.189399719200004,4.46027994156
Brussels Airport,Brussels,Belgium,BRU,50.9014015198,4.48443984985
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459202000000005,4.4538199999999994
Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,50.817199707,3.2047200202900004
Liège Airport,Liege,Belgium,LGG,50.63740158081055,5.443220138549805
Ostend-Bruges International Airport,Ostend,Belgium,OST,51.1988983154,2.8622200489
Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,51.264702,4.75333
Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.981945,12.506389
Riesa-Göhlis Airport,Riesa,Germany,IES,51.293609619099996,13.3561105728
Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,53.306388855,12.7522220612
Schönhagen Airport,Schoenhagen,Germany,QXH,52.203609,13.156389
Barth Airport,Barth,Germany,BBH,54.338253,12.710515
"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,52.073612,11.626389
Cottbus-Drewitz Airport,Cottbus,Germany,CBU,51.889441999999995,14.531944000000001
Berlin-Schönefeld Airport,Berlin,Germany,SXF,52.380001,13.5225
Dresden Airport,Dresden,Germany,DRS,51.1328010559082,13.767200469970705
Erfurt Airport,Erfurt,Germany,ERF,50.97980117797852,10.958100318908693
Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556
Münster Osnabrück Airport,Munster,Germany,FMO,52.134601593,7.68483018875
Hamburg Airport,Hamburg,Germany,HAM,53.630401611328004,9.988229751586902
Berlin-Tempelhof International Airport,Berlin,Germany,THF,52.472999572753906,13.403900146484375
Cologne Bonn Airport,Cologne,Germany,CGN,50.865898132299996,7.1427397728
Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.766780000000001
Munich Airport,Munich,Germany,MUC,48.353802,11.7861
Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.078056
Leipzig/Halle Airport,Leipzig,Germany,LEJ,51.423889,12.236388999999999
Saarbrücken Airport,Saarbruecken,Germany,SCN,49.2145996094,7.10950994492
Stuttgart Airport,Stuttgart,Germany,STR,48.6898994446,9.22196006775
Berlin-Tegel Airport,Berlin,Germany,TXL,52.5597,13.2877
Hannover Airport,Hannover,Germany,HAJ,52.461101532,9.68507957458
Bremen Airport,Bremen,Germany,BRE,53.0475006104,8.78666973114
Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,49.959998999999996,8.645833
Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.9487,7.263889999999999
Mannheim-City Airport,Mannheim,Germany,MHG,49.473057,8.514167
Eisenach-Kindel Airport,Eisenach,Germany,EIB,50.991603999999995,10.47973
Siegerland Airport,Siegerland,Germany,SGE,50.70769882202149,8.082969665527344
Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,53.5352783203125,9.835556030273438
Kiel-Holtenau Airport,Kiel,Germany,KEL,54.37944412231445,10.145277976989746
Lübeck Blankensee Airport,Luebeck,Germany,LBC,53.805400848400005,10.7192001343
Essen Mulheim Airport,Essen,Germany,ESS,51.40230178833008,6.9373297691345215
Bielefeld Airport,Bielefeld,Germany,BFE,51.964721999999995,8.544444
Mönchengladbach Airport,Moenchengladbach,Germany,MGL,51.230278000000006,6.504444
Paderborn Lippstadt Airport,Paderborn,Germany,PAD,51.614101409899995,8.616319656369999
Dortmund Airport,Dortmund,Germany,DTM,51.518299102799986,7.61223983765
Augsburg Airport,Augsburg,Germany,AGB,48.425278000000006,10.931667
Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF,48.081402000000004,11.2831
Straubing Airport,Straubing,Germany,RBM,48.90083312988281,12.516667366027832
Friedrichshafen Airport,Friedrichshafen,Germany,FDH,47.671298980699994,9.511489868160002
Schwerin Parchim Airport,Parchim,Germany,SZW,53.426998,11.7834
Bayreuth Airport,Bayreuth,Germany,BYU,49.985001000000004,11.64
Burg Feuerstein Airport,Burg Feuerstein,Germany,URD,49.794166564940994,11.133610725402999
Hof-Plauen Airport,Hof,Germany,HOQ,50.288612365722656,11.856389045715332
Zweibrücken Airport,Zweibruecken,Germany,ZQW,49.2094,7.4005600000000005
