Airline IATA,Source airport IATA,Destination airport IATA,Distance
S7,GYD,DME,1885.3771085660626
S7,GYD,LED,2549.013396308214
S7,GYD,OVB,2885.0519050040434
S7,HEL,DME,937.6154224349352
S7,HEL,LED,299.57536175691115
S7,HEL,SVX,2090.6961701630707
S7,HER,DME,2434.0275228779483
S7,HKG,DME,7108.60310566221
S7,HKG,KHV,3469.282321905994
S7,HKG,OVB,4463.664553984818
S7,HKG,VVO,2884.203835977036
S7,HTA,DME,4728.443568318043
S7,HTA,OVB,2036.66436664509
S7,ICN,VVO,816.4098808716844
S7,IKT,BKK,4302.9193732187305
S7,IKT,DME,4207.850922340969
S7,IKT,GDX,2929.1681182157877
S7,IKT,OVB,1458.8243099590643
S7,IKT,PEK,1643.9599761274953
S7,IKT,VVO,2275.8792385923252
S7,IKT,YKS,1860.015151572239
S7,KBP,DME,733.0645404956299
S7,KBP,KGD,858.3383488406963
S7,KBP,LED,1052.1388738606681
S7,KBP,OVB,3445.7458228637706
S7,KBP,ROV,731.3676839002691
S7,KBP,SVX,2080.2290056427237
S7,KEJ,DME,2986.3350898297754
S7,KGD,DME,1098.794219638433
S7,KGD,KBP,858.3383488406963
S7,KGD,TXL,545.6147361773948
S7,KHV,HKG,3469.282321905994
S7,KHV,NRT,1481.5956793051016
S7,KHV,OVB,3596.6283948334762
S7,KHV,PEK,1746.1645230791496
S7,KHV,PKC,1704.141119925097
S7,KHV,UUS,591.8786099585399
S7,KIV,DME,1129.7988636047385
S7,KJA,DME,3323.3471291125547
S7,KJA,PEK,2504.68802502589
S7,KRR,DME,1156.9971680644833
S7,KUF,DME,818.9340838269536
S7,KZN,DME,715.649350484049
S7,LBD,CEK,1783.2724086890871
S7,LBD,DME,2873.2264658039207
S7,LBD,OVB,1903.6833511211416
S7,LCA,DME,2306.735174346027
S7,LED,DME,666.8838408232718
S7,LED,GYD,2549.013396308214
S7,LED,HEL,299.57536175691115
S7,LED,KBP,1052.1388738606681
S7,LED,MSQ,671.7840018692455
S7,LED,OVB,3097.6039343233992
S7,LED,PEK,6056.559830588546
S7,LED,SKG,2202.793088710466
S7,LIS,DME,3913.3192625685265
S7,MAD,DME,3437.405204880171
S7,MRV,DME,1296.925012071491
S7,MSQ,DME,657.0478942167671
S7,MSQ,LED,671.7840018692455
S7,MUC,DME,1942.0378368728022
S7,MUC,OVB,4727.259684690522
S7,NJC,DME,2306.7197227194492
S7,NOZ,DME,3093.0239441371405
S7,NRT,DME,7513.1692153347385
S7,NRT,KHV,1481.5956793051016
S7,NRT,VVO,1102.9275803018645
S7,NSK,DME,2864.805700505689
S7,NSK,OVB,1607.2617874011964
